name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
005|005|parent|sega/segag80r.cpp|270|256|224|60.000000||||Sega
11beat|Eleven Beat|parent|nintendo/aleck64.cpp|0|3093|525|59.959432||||Hudson
1941|1941 - Counter Attack (World)|parent|capcom/cps1.cpp|270|384|224|59.637405||||Capcom\CPS1
1941j|1941 - Counter Attack (Japan)|clone|capcom/cps1.cpp|270|384|224|59.637405||1941||Capcom\CPS1
1942|1942 (set 1)|parent|capcom/1942.cpp|270|256|224|59.637405||||Capcom
1942a|1942 (set 2)|clone|capcom/1942.cpp|270|256|224|59.637405||1942||Capcom
1942b|1942 (set 3)|clone|capcom/1942.cpp|270|256|224|59.637405||1942||Capcom
1943|1943: The Battle of Midway (US)|parent|capcom/1943.cpp|270|256|224|59.637405||||Capcom
1943j|1943: Midway Kaisen (Japan)|clone|capcom/1943.cpp|270|256|224|59.637405||1943||Capcom
1943kai|1943 Kai: Midway Kaisen (Japan)|parent|capcom/1943.cpp|270|256|224|59.637405||||Capcom
1944|1944: The Loop Master (US 000620)|parent|capcom/cps2.cpp|0|384|224|59.637405||||Capcom, supported by Eighting/Capcom\CPS2/Raizing
1944j|1944: The Loop Master (Japan 000620)|clone|capcom/cps2.cpp|0|384|224|59.637405||1944||Capcom, supported by Eighting/Capcom\CPS2/Raizing
1945kiii|1945k III|parent|promat/1945kiii.cpp|270|320|224|59.637405||||Oriental
19xx|19XX: The War Against Destiny (US 951207)|parent|capcom/cps2.cpp|270|384|224|59.637405||||Capcom\CPS2
19xxa|19XX: The War Against Destiny (Asia 951207)|clone|capcom/cps2.cpp|270|384|224|59.637405||19xx||Capcom\CPS2
19xxh|19XX: The War Against Destiny (Hispanic 951218)|clone|capcom/cps2.cpp|270|384|224|59.637405||19xx||Capcom\CPS2
19xxj|19XX: The War Against Destiny (Japan 951225)|clone|capcom/cps2.cpp|270|384|224|59.637405||19xx||Capcom\CPS2
19xxjr1|19XX: The War Against Destiny (Japan 951207)|clone|capcom/cps2.cpp|270|384|224|59.637405||19xx||Capcom\CPS2
2020bb|2020 Super Baseball (set 1)|parent|neogeo/neogeo.cpp|0|320|224|59.185606|neogeo|||neogeo/Pallas/SNK
2020bba|2020 Super Baseball (set 2)|clone|neogeo/neogeo.cpp|0|320|224|59.185606|neogeo|2020bb||neogeo/Pallas/SNK
2020bbh|2020 Super Baseball (set 3)|clone|neogeo/neogeo.cpp|0|320|224|59.185606|neogeo|2020bb||neogeo/Pallas/SNK
280zzzap|Datsun 280 Zzzap|parent|midw8080/mw8080bw.cpp|0|260|224|59.541985||||Midway
3countb|3 Count Bout / Fire Suplex|parent|neogeo/neogeo.cpp|0|320|224|59.185606|neogeo|||neogeo/SNK
3in1semi|XESS - The New Revolution (SemiCom 3-in-1)|parent|kaneko/snowbros.cpp|0|256|224|57.500000||||SemiCom
3kokushi|Sankokushi (Japan)|parent|metro/metro.cpp|0|320|240|58.232800||||Mitchell
3stooges|The Three Stooges In Brides Is Brides|parent|gottlieb/gottlieb.cpp|0|256|240|61.419025||||Mylstar
3wonders|Three Wonders (World 910520)|parent|capcom/cps1.cpp|0|384|224|59.637405||||Capcom\CPS1
3wonderu|Three Wonders (US 910520)|clone|capcom/cps1.cpp|0|384|224|59.637405||3wonders||Capcom\CPS1
40love|Forty-Love|parent|taito/40love.cpp|0|256|224|60.000000||||Taito
47pie2|Idol Janshi Su-Chi-Pie 2 (v1.1)|parent|||||||||Jaleco
47pie2o|Idol Janshi Su-Chi-Pie 2 (v1.0)|clone|||||||47pie2||Jaleco
4dwarrio|4-D Warriors|parent|sega/system1.cpp|0|512|224|60.096154||||Coreland/Sega
4enraya|4 En Raya|parent|misc/4enraya.cpp|0|256|224|60.000000||||IDSA
4in1|4 Fun in 1|parent|galaxian/galaxold.cpp|90|256|224|60.606061||||Armenia/Food & Fun
4in1boot|Puzzle King (bootleg)|parent|kaneko/snowbros.cpp|0|256|224|57.500000||||
4psimasy|Mahjong 4P Simasyo (Japan)|parent|nichibutsu/niyanpai.cpp|0|640|240|60.000000||||AV JAPAN/SPHINX
600|600|clone|galaxian/galaxian.cpp|90|768|224|60.606061||turtles||Konami
64streej|64th. Street - A Detective Story (Japan)|clone|jaleco/megasys1.cpp|0|256|224|56.191350||64street||Jaleco
64street|64th. Street - A Detective Story (World)|parent|jaleco/megasys1.cpp|0|256|224|56.191350||||Jaleco
720|720 Degrees (rev 4)|parent|atari/atarisy2.cpp|0|512|384|60.096154||||Atari
720g|720 Degrees (German, rev 2)|clone|atari/atarisy2.cpp|0|512|384|60.096154||720||Atari
720gr1|720 Degrees (German, rev 1)|clone|atari/atarisy2.cpp|0|512|384|60.096154||720||Atari
720r1|720 Degrees (rev 1)|clone|atari/atarisy2.cpp|0|512|384|60.096154||720||Atari
720r2|720 Degrees (rev 2)|clone|atari/atarisy2.cpp|0|512|384|60.096154||720||Atari
720r3|720 Degrees (rev 3)|clone|atari/atarisy2.cpp|0|512|384|60.096154||720||Atari
7jigen|7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)|parent|dynax/dynax.cpp|180|508|240|60.000000||||Dynax
7mezzo|7 e Mezzo|parent|misc/magicfly.cpp|0|256|232|60.000000||||Unknown
7toitsu|Chi-Toitsu|clone|capcom/mitchell.cpp|0|384|240|60.000000||mgakuen||Yuga
800fath|800 Fathoms|clone|galaxian/scramble.cpp|90|256|224|60.606061||mariner||Amenip/US Billiards
