name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
anmlbskt|Animal Basket / Hustle Tamaire Kyousou (24 Jan 2005)|parent|sega/dc_atomiswave.cpp|270|640|480|61.702586|awbios||preliminary|MOSS/Sammy
anmlbskta|Animal Basket / Hustle Tamaire Kyousou (19 Jan 2005)|clone|sega/dc_atomiswave.cpp|270|640|480|61.702586|awbios|anmlbskt|preliminary|MOSS/Sammy
awbios|Atomiswave BIOS|bios|sega/dc_atomiswave.cpp|0|640|480|61.702586||||Sammy
basschal|Sega Bass Fishing Challenge Version A|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sega
basschalo|Sega Bass Fishing Challenge|clone|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios|basschal|preliminary|Sega
blokpong|Block Pong-Pong|parent|sega/dc_atomiswave.cpp|270|640|480|61.702586|awbios||preliminary|MOSS/Sammy
claychal|Sega Clay Challenge|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sega
demofist|Demolish Fist|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Dimps/Polygon Magic
dirtypig|Dirty Pigskin Football|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sammy
dolphin|Dolphin Blue|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sammy
fotns|Fist Of The North Star / Hokuto no Ken|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Arc System Works/Sega
ftspeed|Faster Than Speed|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sammy
ggisuka|Guilty Gear Isuka|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Arc System Works/Sammy
ggx15|Guilty Gear X ver. 1.5|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Arc System Works/Sammy
kofnw|The King of Fighters Neowave|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sammy/SNK
kofnwj|The King of Fighters Neowave (Japan)|clone|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios|kofnw|preliminary|Sammy/SNK
kofxi|The King of Fighters XI|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sammy/SNK
kov7sprt|Knights of Valour - The Seven Spirits|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|IGS/Sammy
maxspeed|Maximum Speed|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sammy/SIMS
mslug6|Metal Slug 6|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sega/SNK
ngbc|NeoGeo Battle Coliseum|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sammy/SNK
ngbcj|NeoGeo Battle Coliseum (Japan)|clone|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios|ngbc|preliminary|Sammy/SNK
rangrmsn|Ranger Mission|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|RIZ/Sammy
rumblef|The Rumble Fish|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Dimps/Sammy
rumblef2|The Rumble Fish 2|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Dimps/Sammy
rumblefp|The Rumble Fish (prototype)|clone|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios|rumblef|preliminary|Dimps/Sammy
rumblf2p|The Rumble Fish 2 (prototype)|clone|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios|rumblef2|preliminary|Dimps/Sammy
salmankt|Net@Select: Salaryman Kintaro|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sammy/Yuki Enterprise
samsptk|Samurai Spirits Tenkaichi Kenkakuden|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sammy/SNK
sprtshot|Sports Shooting USA|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sammy
sushibar|Sushi Bar / Toretore! Sushi|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sammy
vfurlong|Net@Select: Horse Racing - Victory Furlong|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Progress/Sammy
waidrive|WaiWai Drive|parent|sega/dc_atomiswave.cpp|270|640|480|61.702586|awbios||preliminary|MOSS/Sammy
xtrmhnt2|Extreme Hunting 2|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sega
xtrmhunt|Extreme Hunting|parent|sega/dc_atomiswave.cpp|0|640|480|61.702586|awbios||preliminary|Sammy
