name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
88games|'88 Games|parent|konami/88games.cpp|0|304|224||||good|Konami
flagrall|'96 Flag Rally|parent|promat/1945kiii.cpp|0|320|240||||good|
99lstwarb|'99: The Last War (bootleg)|clone|orca/kyugo.cpp|90|224|288|||repulse|good|
99lstwark|'99: The Last War (Kyugo)|clone|orca/kyugo.cpp|90|224|288|||repulse|good|Crux/Kyugo
99lstwar|'99: The Last War (set 1)|clone|orca/kyugo.cpp|90|224|288|||repulse|good|Crux/Proma
99lstwara|'99: The Last War (set 2)|clone|orca/kyugo.cpp|90|224|288|||repulse|good|Crux/Proma
10yard85|10-Yard Fight '85 (US, Taito license)|clone|irem/m58.cpp|0|256|224|||10yard|good|Irem/Taito
10yardj|10-Yard Fight (Japan)|clone|irem/m58.cpp|0|256|224|||10yard|good|Irem
10yard|10-Yard Fight (World, set 1)|parent|irem/m58.cpp|0|256|224||||good|Irem
gtmro|1000 Miglia: Great 1000 Miles Rally (94/05/10)|clone|kaneko/kaneko16.cpp|0|320|240|||gtmr|good|Kaneko
gtmrb|1000 Miglia: Great 1000 Miles Rally (94/05/26)|clone|kaneko/kaneko16.cpp|0|320|240|||gtmr|good|Kaneko
gtmra|1000 Miglia: Great 1000 Miles Rally (94/06/13)|clone|kaneko/kaneko16.cpp|0|320|240|||gtmr|good|Kaneko
gtmr|1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18)|parent|kaneko/kaneko16.cpp|0|320|240||||good|Kaneko
cprogolf18|18 Challenge Pro Golf (DECO Cassette) (Japan)|clone|dataeast/decocass.cpp|270|240|256||decocass|cprogolf|good|Data East
progolf|18 Holes Pro Golf (set 1)|parent|dataeast/progolf.cpp|270|256|256||||good|Data East
1941j|1941: Counter Attack (Japan)|clone|capcom/cps1.cpp|270|224|384|||1941|good|Capcom\CPS1
1941u|1941: Counter Attack (USA 900227)|clone|capcom/cps1.cpp|270|224|384|||1941|good|Capcom\CPS1
1941|1941: Counter Attack (World 900227)|parent|capcom/cps1.cpp|270|224|384||||good|Capcom\CPS1
1941r1|1941: Counter Attack (World)|clone|capcom/cps1.cpp|270|224|384|||1941|good|Capcom\CPS1
1942c64|1942 (C64 Music)|clone|capcom/1942.cpp|270|224|256|||1942|good|
1942b|1942 (First Version)|clone|capcom/1942.cpp|270|224|256|||1942|good|Capcom
1942a|1942 (Revision A)|clone|capcom/1942.cpp|270|224|256|||1942|good|Capcom
1942abl|1942 (Revision A, bootleg)|clone|capcom/1942.cpp|270|224|256|||1942|good|Capcom
1942|1942 (Revision B)|parent|capcom/1942.cpp|270|224|256||||good|Capcom
1942w|1942 (Williams Electronics license)|clone|capcom/1942.cpp|270|224|256|||1942|good|Capcom/Williams Electronics
