name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
005|005|parent|sega/segag80r.cpp|270|256|224|60.000000|||imperfect|Sega
100lions|100 Lions (10219211, NSW/ACT)|parent|aristocrat/aristmk6.cpp|0|640|480|60.000000|aristmk6||preliminary|Aristocrat
100lionsa|100 Lions (30223811, ASP)|clone|aristocrat/aristmk6.cpp|0|640|480|60.000000|aristmk6|100lions|preliminary|Aristocrat
10yard|10-Yard Fight (World, set 1)|parent|irem/m58.cpp|0|256|224|56.737589|||good|Irem
10yard85|10-Yard Fight '85 (US, Taito license)|clone|irem/m58.cpp|0|256|224|56.737589||10yard|good|Irem/Taito
10yardj|10-Yard Fight (Japan)|clone|irem/m58.cpp|0|256|224|56.737589||10yard|good|Irem
11beat|Eleven Beat|parent|nintendo/aleck64.cpp|0|3093|525|59.959432|aleck64||imperfect|Hudson
136094_0072|Atari 136094-0072 XGA|device|atari/atarixga.cpp||||||||
136095_0072|Atari 136095-0072 XGA|device|atari/atarixga.cpp||||||||
15lions|15 Lions (10166211, Queensland)|parent|aristocrat/aristmk6.cpp|0|640|480|60.000000|aristmk6||preliminary|Aristocrat
18w|18 Wheeler (set 1)|parent|midway/mw18w.cpp|||||||preliminary|Midway
18w2|18 Wheeler (set 2)|clone|midway/mw18w.cpp||||||18w|preliminary|Midway
18wheelr|18 Wheeler: American Pro Trucker (deluxe, Rev A)|parent|sega/naomi.cpp|0|640|480|61.702586|naomi||preliminary|Sega
18wheelro|18 Wheeler: American Pro Trucker (deluxe)|clone|sega/naomi.cpp|0|640|480|61.702586|naomi|18wheelr|preliminary|Sega
18wheelrt|18 Wheeler: American Pro Trucker (deluxe, Rev T)|clone|sega/naomi.cpp|0|640|480|61.702586|naomi|18wheelr|preliminary|Sega
18wheels|18 Wheeler: American Pro Trucker (standard)|clone|sega/naomi.cpp|0|640|480|61.702586|naomi|18wheelr|preliminary|Sega
18wheelu|18 Wheeler: American Pro Trucker (upright)|clone|sega/naomi.cpp|0|640|480|61.702586|naomi|18wheelr|preliminary|Sega
1941|1941: Counter Attack (World 900227)|parent|capcom/cps1.cpp|270|384|224|59,637405|||good|Capcom\CPS1
1941j|1941: Counter Attack (Japan)|clone|capcom/cps1.cpp|270|384|224|59.637405||1941|good|Capcom\CPS1
1941r1|1941: Counter Attack (World)|clone|capcom/cps1.cpp|270|384|224|59.637405||1941|good|Capcom\CPS1
1941u|1941: Counter Attack (USA 900227)|clone|capcom/cps1.cpp|270|384|224|59.637405||1941|good|Capcom\CPS1
1942|1942 (Revision B)|parent|capcom/1942.cpp|270|256|224|59.637405|||good|Capcom
1942a|1942 (Revision A)|clone|capcom/1942.cpp|270|256|224|59.637405||1942|good|Capcom
1942abl|1942 (Revision A, bootleg)|clone|capcom/1942.cpp|270|256|224|59.637405||1942|good|
1942b|1942 (First Version)|clone|capcom/1942.cpp|270|256|224|59.637405||1942|good|Capcom
1942h|Supercharger 1942|clone|capcom/1942.cpp|270|256|224|59.637405||1942|good|Two Bit Score
1942p|1942 (Tecfri PCB, bootleg?)|clone|capcom/1942.cpp|270|256|224|59.637405||1942|good|
1942w|1942 (Williams Electronics license)|clone|capcom/1942.cpp|270|256|224|59.637405||1942|good|Capcom/Williams Electronics
1943|1943: The Battle of Midway (Euro)|parent|capcom/1943.cpp|270|256|224|59.637405|||good|Capcom
1943b|1943: Battle of Midway (bootleg, hack of Japan set)|clone|capcom/1943.cpp|270|256|224|59.637405||1943|good|
1943bj|1943: Midway Kaisen (bootleg)|clone|capcom/1943.cpp|270|256|224|59.637405||1943|good|
1943j|1943: Midway Kaisen (Japan, Rev B)|clone|capcom/1943.cpp|270|256|224|59.637405||1943|good|Capcom
1943ja|1943: Midway Kaisen (Japan)|clone|capcom/1943.cpp|270|256|224|59.637405||1943|good|Capcom
1943jah|1943: Midway Kaisen (Japan, no protection hack)|clone|capcom/1943.cpp|270|256|224|59.637405||1943|good|Capcom
1943kai|1943 Kai: Midway Kaisen (Japan)|parent|capcom/1943.cpp|270|256|224|59.637405|||good|Capcom
1943mii|1943: The Battle of Midway Mark II (US)|parent|capcom/1943.cpp|270|256|224|59.637405|||good|Capcom
1943u|1943: The Battle of Midway (US, Rev C)|clone|capcom/1943.cpp|270|256|224|59.637405||1943|good|Capcom
1943ua|1943: The Battle of Midway (US)|clone|capcom/1943.cpp|270|256|224|59.637405||1943|good|Capcom
1944|1944: The Loop Master (Euro 000620)|parent|capcom/cps2.cpp|0|384|224|59.637405|||good|Capcom\CPS2/Eighting/Raizing
1944d|1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)|clone|capcom/cps2.cpp|0|384|224|59.637405||1944|good|Capcom\CPS2
1944j|1944: The Loop Master (Japan 000620)|clone|capcom/cps2.cpp|0|384|224|59.637405||1944|good|Capcom\CPS2/Eighting/Raizing
1944u|1944: The Loop Master (USA 000620)|clone|capcom/cps2.cpp|0|384|224|59.637405||1944|good|Capcom\CPS2/Eighting/Raizing
1945kiii|1945k III (newer, OPCX2 PCB)|parent|promat/1945kiii.cpp|270|320|224|59.637405|||good|Oriental Soft
1945kiiin|1945k III (newer, OPCX1 PCB)|clone|promat/1945kiii.cpp|270|320|224|59.637405||1945kiii|good|Oriental Soft
1945kiiio|1945k III (older, OPCX1 PCB)|clone|promat/1945kiii.cpp|270|320|224|59.637405||1945kiii|good|Oriental Soft
19in1|19 in 1 MAME bootleg (BAR-V000)|clone|misc/39in1.cpp|90|296|480|60.000000||39in1|preliminary|
19xx|19XX: The War Against Destiny (Euro 960104)|parent|capcom/cps2.cpp|270|384|224|59.637405|||good|Capcom\CPS2
19xxa|19XX: The War Against Destiny (Asia 960104)|clone|capcom/cps2.cpp|270|384|224|59,637405||19xx|good|Capcom\CPS2
19xxar1|19XX: The War Against Destiny (Asia 951207)|clone|capcom/cps2.cpp|270|384|224|59.637405||19xx|good|Capcom\CPS2
19xxb|19XX: The War Against Destiny (Brazil 951218)|clone|capcom/cps2.cpp|270|384|224|59.637405||19xx|good|Capcom\CPS2
19xxd|19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)|clone|capcom/cps2.cpp|270|384|224|59.637405||19xx|good|Capcom\CPS2
19xxh|19XX: The War Against Destiny (Hispanic 951218)|clone|capcom/cps2.cpp|270|384|224|59.637405||19xx|good|Capcom\CPS2
19xxj|19XX: The War Against Destiny (Japan 960104, yellow case)|clone|capcom/cps2.cpp|270|384|224|59.637405||19xx|good|Capcom\CPS2
19xxjr1|19XX: The War Against Destiny (Japan 951225)|clone|capcom/cps2.cpp|270|384|224|59.637405||19xx|good|Capcom\CPS2
19xxjr2|19XX: The War Against Destiny (Japan 951207)|clone|capcom/cps2.cpp|270|384|224|59.637405||19xx|good|Capcom\CPS2
19xxu|19XX: The War Against Destiny (USA 951207)|clone|capcom/cps2.cpp|270|384|224|59.637405||19xx|good|Capcom\CPS2
