name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
005|005|parent|sega/segag80r.cpp|270|256|224|60.000000||||Sega
1941|1941 - Counter Attack (World)|parent|capcom/cps1.cpp|270|384|224|59.637405||||Capcom\CPS1
1941j|1941 - Counter Attack (Japan)|clone|capcom/cps1.cpp|270|384|224|59.637405||1941||Capcom\CPS1
1942|1942 (set 1)|parent|capcom/1942.cpp|270|256|224|59.637405||||Capcom
1942a|1942 (set 2)|clone|capcom/1942.cpp|270|256|224|59.637405||1942||Capcom
1942b|1942 (set 3)|clone|capcom/1942.cpp|270|256|224|59.637405||1942||Capcom
1943|1943 - The Battle of Midway (US)|parent|capcom/1943.cpp|270|256|224|59.637405||||Capcom
1943j|1943 - The Battle of Midway (Japan)|clone|capcom/1943.cpp|270|256|224|59.637405||1943||Capcom
1943kai|1943 Kai|parent|capcom/1943.cpp|270|256|224|59.637405||||Capcom
2020bb|2020 Super Baseball (set 1)|parent|neogeo/neogeo.cpp|0|320|224|59.185606|neogeo|||neogeo/Pallas/SNK
2020bbh|2020 Super Baseball (set 2)|clone|neogeo/neogeo.cpp|0|320|224|59.185606|neogeo|2020bb||neogeo/Pallas/SNK
280zzzap|Datsun 280 Zzzap|parent|midw8080/mw8080bw.cpp|0|260|224|59.541985||||Midway
3countb|3 Count Bout / Fire Suplex|parent|neogeo/neogeo.cpp|0|320|224|59.185606|neogeo|||neogeo/SNK
3stooges|Three Stooges|parent|gottlieb/gottlieb.cpp|0|256|240|61.419025||||Mylstar
3wonders|Three Wonders (US)|parent|capcom/cps1.cpp|0|384|224|59.637405||||Capcom\CPS1
4dwarrio|4-D Warriors|parent|sega/system1.cpp|0|512|224|60.096154||||Coreland/Sega
600|600|clone|galaxian/galaxian.cpp|90|768|224|60.606061||turtles||Konami
64streej|64th. Street - A Detective Story (Japan)|clone|jaleco/megasys1.cpp|0|256|224|56.191350||64street||Jaleco
64street|64th. Street - A Detective Story (World)|parent|jaleco/megasys1.cpp|0|256|224|56.191350||||Jaleco
720|720 Degrees (set 1)|parent|atari/atarisy2.cpp|0|512|384|60.096154||||Atari
720b|720 Degrees (set 2)|clone|atari/atarisy2.cpp|0|512|384|60.096154||720||Atari
800fath|800 Fathoms|clone|galaxian/scramble.cpp|90|256|224|60.606061||mariner||Amenip/US Billiards
88games|'88 Games|parent|konami/88games.cpp|0|320|224|60.000000||||Konami
99lstwar|'99 The Last War|clone|orca/kyugo.cpp|90|288|224|60.000000||sonofphx||Proma
99lstwra|'99 The Last War (alternate)|clone|orca/kyugo.cpp|90|288|224|60.000000||sonofphx||Proma
aafb|All American Football (rev E)|parent|cinematronics/leland.cpp|270|320|240|60.000000||||Leland
aafbb|All American Football (rev B)|clone|cinematronics/leland.cpp|270|320|240|60.000000||aafb||Leland
aafbd2p|All American Football (rev D, 2 Players)|clone|cinematronics/leland.cpp|270|320|240|60.000000||aafb||Leland
abaseb|Atari Baseball (set 1)|parent|atari/atarifb.cpp|0|304|240|60.114504||||Atari
abaseb2|Atari Baseball (set 2)|clone|atari/atarifb.cpp|0|304|240|60.114504||abaseb||Atari
actfanc1|Act-Fancer Cybernetick Hyper Weapon (World revision 1)|clone|dataeast/actfancr.cpp|0|256|240|60.000000||actfancr||Data East
actfancj|Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)|clone|dataeast/actfancr.cpp|0|256|240|60.000000||actfancr||Data East
actfancr|Act-Fancer Cybernetick Hyper Weapon (World revision 2)|parent|dataeast/actfancr.cpp|0|256|240|60.000000||||Data East
aeroboto|Aeroboto|clone|jaleco/aeroboto.cpp|0|248|224|60.000000||formatz||Jaleco/Williams
aerofgt|Aero Fighters|parent|vsystem/aerofgt.cpp|270|320|224|61.310000||||Video System
aerofgtb|Aero Fighters (Turbo Force hardware set 1)|clone|vsystem/aerofgt.cpp|270|320|224|60.000000||aerofgt||Video System
aerofgtc|Aero Fighters (Turbo Force hardware set 2)|clone|vsystem/aerofgt.cpp|270|320|224|60.000000||aerofgt||Video System
