name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
puckman|PuckMan (Japan set 1)|parent|pacman/pacman.cpp|90|224|288|60.606060|||good|Namco
puckmana|PuckMan (Japan set 2)|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|Namco
pacman|Pac-Man (Midway)|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|Midway/Namco
pacmanf|Pac-Man (speedup hack)|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|
puckmod|PuckMan (harder[Q])|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|Namco
pacmod|Pac-Man (Midway, harder)|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|Midway/Namco
hangly|Hangly-Man (set 1)|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|
hangly2|Hangly-Man (set 2)|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|
hangly3|Hangly-Man (set 3)|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|
newpuckx|New Puck-X|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|
pacheart|Pac-Man (Hearts)|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|
joyman|Joyman|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|
newpuc2|Newpuc2|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|
newpuc2b|Newpuc2 (set 2)|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|
piranha|Piranha|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|GL/US Billiards
piranhao|Piranha (older)|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|GL/US Billiards
piranhah|Piranha (hack)|clone|pacman/pacman.cpp|90|224|288|60.606060||puckman|good|
nmouse|Naughty Mouse (set 1)|parent|pacman/pacman.cpp|90|224|288|60.606060|||good|Amenip/Palcom Queen River
nmouseb|Naughty Mouse (set 2)|clone|pacman/pacman.cpp|90|224|288|60.606060||nmouse|good|Amenip
woodpeck|Woodpecker (set 1)|parent|pacman/pacman.cpp|90|224|288|60.606060|||good|Amenip/Palcom Queen River
