name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
puckman|PuckMan (Japan set 1)|parent|pacman/pacman.cpp|90|288|224|60.606061|||good|Namco
puckmana|PuckMan (Japan set 2)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|Namco
puckmanf|PuckMan (Japan set 1 with speedup hack)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|Namco
puckmanh|Puckman (Falcom?)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|
pacman|Pac-Man (Midway)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|Midway/Namco
pacmanf|Pac-Man (Midway, with speedup hack)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|Midway/Namco
puckmod|PuckMan (Japan set 3)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|Namco
pacmod|Pac-Man (Midway, harder)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|Midway/Namco
newpuc2|Newpuc2 (set 1)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|
newpuc2b|Newpuc2 (set 2)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|
newpuckx|New Puck-X|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|
pacheart|Pac-Man (Hearts)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|
hangly|Hangly-Man (set 1)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|
hangly2|Hangly-Man (set 2)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|
hangly3|Hangly-Man (set 3)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|
popeyeman|Popeye-Man|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|
piranhah|Piranha (hack)|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|
abscam|Abscam|clone|pacman/pacman.cpp|90|288|224|60.606061||puckman|good|GL/US Billiards
crush|Crush Roller (Kural Samno)|parent|pacman/pacman.cpp|90|288|224|60.606061|||good|Kural Samno Electric
