name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
18wheelr|18 Wheeler: American Pro Trucker (deluxe, Rev A)|parent|sega/naomi.cpp|0|640|480|61.702586|naomi||preliminary|Sega
18wheelro|18 Wheeler: American Pro Trucker (deluxe)|clone|sega/naomi.cpp|0|640|480|61.702586|naomi|18wheelr|preliminary|Sega
18wheelrt|18 Wheeler: American Pro Trucker (deluxe, Rev T)|clone|sega/naomi.cpp|0|640|480|61.702586|naomi|18wheelr|preliminary|Sega
18wheels|18 Wheeler: American Pro Trucker (standard)|clone|sega/naomi.cpp|0|640|480|61.702586|naomi|18wheelr|preliminary|Sega
18wheelu|18 Wheeler: American Pro Trucker (upright)|clone|sega/naomi.cpp|0|640|480|61.702586|naomi|18wheelr|preliminary|Sega
airlbios|NAOMI Airline Pilots (deluxe) BIOS|bios|sega/naomi.cpp|0|640|480|61.702586||||Sega
alienfnt|Alien Front (Rev T)|parent|sega/naomi.cpp|0|640|480|61.702586|naomi||preliminary|Sega
alienfnta|Alien Front (Rev A)|clone|sega/naomi.cpp|0|640|480|61.702586|naomi|alienfnt|preliminary|Sega
alpilot|Airline Pilots (World, Rev B)|parent|sega/naomi.cpp|0|640|480|61.702586|airlbios||preliminary|Sega
alpilotj|Airline Pilots (Japan, Rev A)|parent|sega/naomi.cpp|0|640|480|61.702586|naomi||preliminary|Sega
anpanman2|Soreike! Anpanman Popcorn Koujou 2 (Rev C)|parent|sega/naomi.cpp|0|640|480|61.702586|naomi||preliminary|Sega
anpanman2a|Soreike! Anpanman Popcorn Koujou 2 (Rev A)|clone|sega/naomi.cpp|0|640|480|61.702586|naomi|anpanman2|preliminary|Sega
asndynmt|Asian Dynamite / Dynamite Deka EX|parent|sega/naomi.cpp|0|640|480|61.702586|naomi||preliminary|Sega
asndynmto|Asian Dynamite / Dynamite Deka EX (older)|clone|sega/naomi.cpp|0|640|480|61.702586|naomi|asndynmt|preliminary|Sega
ausfache|Akatsuki Blitzkampf Ausf. Achse (Japan)|parent|sega/naomi.cpp|0|640|480|61.702586|naomi||preliminary|Subtle Style
azumanga|Azumanga Daioh Puzzle Bobble (GDL-0018)|parent|sega/naomi.cpp|0|640|480|61.702586|naomigd||preliminary|MOSS/Taito
bdrdown|Border Down (Rev A) (GDL-0023A)|parent|sega/naomi.cpp|0|640|480|61.702586|naomigd||preliminary|G.Rev
capsnk|Capcom Vs. SNK: Millennium Fight 2000 (Rev C)|parent|sega/naomi.cpp|0|640|480|61.702586|naomi||preliminary|Capcom/SNK
capsnka|Capcom Vs. SNK: Millennium Fight 2000 (Rev A)|clone|sega/naomi.cpp|0|640|480|61.702586|naomi|capsnk|preliminary|Capcom/SNK
capsnkb|Capcom Vs. SNK: Millennium Fight 2000|clone|sega/naomi.cpp|0|640|480|61.702586|naomi|capsnk|preliminary|Capcom/SNK
