name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
getstar|Guardian [Protection MCU not emulated]|parent|toaplan/slapfght.cpp|0|||||||Taito
gprider|GP Rider (set 2, World, FD1094 317-0163)|parent|sega/segaxbd.cpp|0|||||||Sega
opwolf|Operation Wolf (World) [Protection C-Chip not emulated]|parent|taito/opwolf.cpp|0|||||||Taito
1941j|1941 - Counter Attack (Japan)|clone|capcom/cps1.cpp|270|||||1941||Capcom\CPS1
1941|1941 - Counter Attack (World)|parent|capcom/cps1.cpp|270|||||||Capcom\CPS1
1944j|1944 - the loop master (000620 Japan)|clone|capcom/cps2.cpp|0|||||1944||Capcom\CPS2/Eighting/Raizing
1944|1944 - the loop master (000620 USA)|parent|capcom/cps2.cpp|0|||||||Capcom\CPS2/Eighting/Raizing
19xxa|19XX - the war against destiny (951207 Asia)|clone|capcom/cps2.cpp|270|||||19xx||Capcom\CPS2
19xxjr1|19XX - the war against destiny (951207 Japan)|clone|capcom/cps2.cpp|270|||||19xx||Capcom\CPS2
19xx|19XX - the war against destiny (951207 USA)|parent|capcom/cps2.cpp|270|||||||Capcom\CPS2
19xxh|19XX - the war against destiny (951218 Hispanic)|clone|capcom/cps2.cpp|270|||||19xx||Capcom\CPS2
19xxj|19XX - the war against destiny (951225 Japan)|clone|capcom/cps2.cpp|270|||||19xx||Capcom\CPS2
2020bb|2020 Super Baseball (set 1)|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Pallas/SNK
2020bba|2020 Super Baseball (set 2)|clone|neogeo/neogeo.cpp|0||||neogeo|2020bb||neogeo/Pallas/SNK
2020bbh|2020 Super Baseball (set 3)|clone|neogeo/neogeo.cpp|0||||neogeo|2020bb||neogeo/Pallas/SNK
3countb|3 Count Bout|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
abcop|A.B. Cop (FD1094 317-0169b)|parent|sega/segaxbd.cpp|0|||||||Sega
afighter|Action Fighter, FD1089A 317-0018|parent|sega/segas16a.cpp|270|||||||Sega\System16
sonicwi2|Aero Fighters 2|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Video System
sonicwi3|Aero Fighters 3|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Video System
aburner|After Burner (Japan)|clone|sega/segaxbd.cpp|0|||||aburner2||Sega
aburner2|After Burner II|parent|sega/segaxbd.cpp|0|||||||Sega
aodk|Aggressors of Dark Kombat|parent|neogeo/neogeo.cpp|0||||neogeo|||ADK/neogeo/SNK
agallet|Air Gallet|parent|misc/cave.cpp|270|||||||BanPresto/Gazelle
alexkid1|Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown) [Incomplete Sound]|clone|sega/segas16a.cpp|0|||||alexkidd||Sega\System16
alexkidd|Alex Kidd: The Lost Stars (set 2, unprotected) [Incomplete Sound]|parent|sega/segas16a.cpp|0|||||||Sega\System16
aliensy1|Alien Syndrome (set 1, System 16A, FD1089A 317-0033) [Incomplete Sound]|clone|sega/segas16b.cpp|0|||||aliensyn||Sega\System16
aliensy2|Alien Syndrome (set 2, System 16A, FD1089A 317-0033) [Incomplete Sound]|clone|sega/segas16b.cpp|0|||||aliensyn||Sega\System16
aliensy3|Alien Syndrome (set 3, System 16B, FD1089A 317-0033) [Incomplete Sound]|clone|sega/segas16b.cpp|0|||||aliensyn||Sega\System16
aliensyn|Alien Syndrome (set 4, System 16B, unprotected) [Incomplete Sound]|parent|sega/segas16b.cpp|0|||||||Sega\System16
avspa|Alien vs Predator (940520 Asia)|clone|capcom/cps2.cpp|0|||||avsp||Capcom\CPS2
avsp|Alien vs Predator (940520 Euro)|parent|capcom/cps2.cpp|0|||||||Capcom\CPS2
avsph|Alien vs Predator (940520 Hispanic)|clone|capcom/cps2.cpp|0|||||avsp||Capcom\CPS2
avspj|Alien vs Predator (940520 Japan)|clone|capcom/cps2.cpp|0|||||avsp||Capcom\CPS2
avspu|Alien vs Predator (940520 USA)|clone|capcom/cps2.cpp|0|||||avsp||Capcom\CPS2
alpham2|Alpha Mission II|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
altbeas2|Altered Beast (set 2, MC-8123B 317-0066) [No Sound]|clone|sega/segas16b.cpp|0|||||altbeast||Sega\System16
altbeas4|Altered Beast (set 4, MC-8123B 317-0066) [No Sound]|clone|sega/segas16b.cpp|0|||||altbeast||Sega\System16
altbeas5|Altered Beast (set 5, 8751 317-0076) [Incomplete Sound]|clone|sega/segas16b.cpp|0|||||altbeast||Sega\System16
altbeast|Altered Beast (set 7, 8751 317-0078) [Incomplete Sound]|parent|sega/segas16b.cpp|0|||||||Sega\System16
androdun|Andro Dunos|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Visco
area88|Area 88 (Japan)|clone|capcom/cps1.cpp|0|||||unsquad||Capcom\CPS1/Daipro
batrider|Armed police Batrider (Batrider ver. Fri Feb 13 1998, Japan)|parent|toaplan/toaplan2.cpp|270|||||||Eighting/Raizing
batridrk|Armed police Batrider (Batrider ver. Fri Feb 13 1998, Korea)|clone|toaplan/toaplan2.cpp|270|||||batrider||Eighting/Raizing
batridra|Armed police Batrider (Batrider ver. Mon Dec 22 1997, Japan)|clone|toaplan/toaplan2.cpp|270|||||batrider||Eighting/Raizing
armwara|Armored Warriors (940920 Asia)|clone|capcom/cps2.cpp|0|||||armwar||Capcom\CPS2
armwarr1|Armored Warriors (941011 Europe)|clone|capcom/cps2.cpp|0|||||armwar||Capcom\CPS2
armwar|Armored Warriors (941024 Europe)|parent|capcom/cps2.cpp|0|||||||Capcom\CPS2
armwaru|Armored Warriors (941024 USA)|clone|capcom/cps2.cpp|0|||||armwar||Capcom\CPS2
aof2|Art of Fighting 2 (set 1)|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
aof2a|Art of Fighting 2 (set 2)|clone|neogeo/neogeo.cpp|0||||neogeo|aof2||neogeo/SNK
aof3k|Art of Fighting 3 - the path of the warrior (korean release)|clone|neogeo/neogeo.cpp|0||||neogeo|aof3||neogeo/SNK
aof3|Art of Fighting 3 - the path of the warrior|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
aof|Art of Fighting|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
aurailj|Aurail (set 1, Japan, FD1089A 317-0167) [Incomplete Sound]|clone|sega/segas16b.cpp|0|||||aurail||Sega\System16/Westone
