name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
bassdx|Sega Bass Fishing Deluxe (USA)|parent|sega/model3.cpp|0|496|384|57.524160|||preliminary|Sega
dayto2pe|Daytona USA 2: Power Edition (Japan)|parent|sega/model3.cpp|0|496|384|57.524160|||preliminary|Sega
daytona2|Daytona USA 2: Battle on the Edge (Japan, Revision A)|parent|sega/model3.cpp|0|496|384|57.524160|||preliminary|Sega
dirtdvls|Dirt Devils (Export, Revision A)|parent|sega/model3.cpp|0|496|384|57.524160|||preliminary|Sega
dirtdvlsau|Dirt Devils (Australia, Revision A)|clone|sega/model3.cpp|0|496|384|57.524160||dirtdvls|preliminary|Sega
dirtdvlsg|Dirt Devils (Export, Ver. G?)|clone|sega/model3.cpp|0|496|384|57.524160||dirtdvls|preliminary|Sega
dirtdvlsj|Dirt Devils (Japan, Revision A)|clone|sega/model3.cpp|0|496|384|57.524160||dirtdvls|preliminary|Sega
dirtdvlsu|Dirt Devils (USA, Revision A)|clone|sega/model3.cpp|0|496|384|57.524160||dirtdvls|preliminary|Sega
eca|Emergency Call Ambulance (Export)|parent|sega/model3.cpp|0|496|384|57.524160|||preliminary|Sega
ecaj|Emergency Call Ambulance (Japan)|clone|sega/model3.cpp|0|496|384|57.524160||eca|preliminary|Sega
ecap|Emergency Call Ambulance (US location test?)|clone|sega/model3.cpp|0|496|384|57.524160||eca|preliminary|Sega
ecau|Emergency Call Ambulance (USA)|clone|sega/model3.cpp|0|496|384|57.524160||eca|preliminary|Sega
fvipers2|Fighting Vipers 2 (Japan, Revision A)|parent|sega/model3.cpp|0|496|384|57.524160|||preliminary|Sega
fvipers2o|Fighting Vipers 2 (Japan)|clone|sega/model3.cpp|0|496|384|57.524160||fvipers2|preliminary|Sega
getbass|Get Bass: Sega Bass Fishing (Japan)|clone|sega/model3.cpp|0|496|384|57.524160||bassdx|preliminary|Sega
getbassdx|Get Bass: Sega Bass Fishing Deluxe (Japan)|clone|sega/model3.cpp|0|496|384|57.524160||bassdx|preliminary|Sega
getbassur|Get Bass: Sega Bass Fishing Upright (Japan)|clone|sega/model3.cpp|0|496|384|57.524160||bassdx|preliminary|Sega
harley|Harley-Davidson and L.A. Riders (Export, Revision B)|parent|sega/model3.cpp|0|496|384|57.524160|||preliminary|Sega
harleya|Harley-Davidson and L.A. Riders (Export, Revision A)|clone|sega/model3.cpp|0|496|384|57.524160||harley|preliminary|Sega
lamachin|L.A. Machineguns (Japan)|parent|sega/model3.cpp|0|496|384|57.524160|||preliminary|Sega
